Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
155000;	73 0.0863611 0.0845057;	69 0.0855978 0.0880241;	72 0.0856002 0.0883755;	69 0.0856064 0.088021;	69 0.0856718 0.0880318;	68 0.0856722 0.0880114;	69 0.0856725 0.0880245;	
157500;	69 0.0859787 0.0847999;	76 0.0854951 0.0864804;	77 0.0854971 0.0864823;	76 0.0854974 0.0864455;	74 0.0855049 0.0864943;	75 0.0855059 0.0864447;	77 0.0855079 0.0864965;	
160000;	79 0.0847515 0.0804659;	79 0.0847515 0.0804659;	78 0.0847557 0.0903849;	84 0.0847618 0.0809348;	83 0.0847624 0.0803077;	80 0.0847635 0.080914;	80 0.0847641 0.0835654;	
162500;	82 0.0847354 0.0808453;	82 0.0847354 0.0808453;	81 0.084736 0.0835654;	80 0.0847366 0.0808461;	79 0.0847368 0.0808441;	79 0.0847373 0.0808597;	79 0.0847374 0.0808417;	
165000;	81 0.0832396 0.0812615;	81 0.0832396 0.0812615;	84 0.0832402 0.0808597;	88 0.0832555 0.0808589;	82 0.0832964 0.0813706;	83 0.0833024 0.0809346;	83 0.0833115 0.0822841;	
167500;	85 0.082939 0.0811627;	85 0.082939 0.0811627;	80 0.08294 0.0799731;	89 0.0829401 0.0811775;	82 0.0829403 0.0811685;	86 0.0829403 0.082022;	82 0.0829414 0.0813705;	
170000;	82 0.0827987 0.0787211;	81 0.0827987 0.0787211;	80 0.0827989 0.0805485;	81 0.0827991 0.0804163;	86 0.0827996 0.07884;	80 0.0827997 0.0811627;	79 0.0827998 0.0787211;	
172500;	82 0.0827987 0.0787211;	77 0.0827987 0.0787211;	77 0.0827989 0.0787211;	78 0.0827991 0.0787211;	78 0.0827996 0.0787211;	76 0.0827997 0.0787211;	76 0.0827998 0.0787211;	
175000;	86 0.0794596 0.0792247;	86 0.0794596 0.0792247;	82 0.0795044 0.0795251;	86 0.079509 0.0815076;	88 0.07951 0.0793823;	84 0.079514 0.0788768;	85 0.0795151 0.0800227;	
177500;	84 0.0794479 0.0791455;	84 0.0794479 0.0791455;	81 0.0794479 0.0791457;	84 0.0794491 0.0791457;	81 0.0794492 0.0791457;	83 0.0794497 0.0791457;	81 0.0794497 0.0791457;	
180000;	89 0.0790636 0.0787914;	87 0.0790636 0.0787914;	84 0.0790637 0.0787914;	88 0.0790647 0.0787914;	88 0.0790648 0.0790437;	88 0.0790648 0.0787914;	87 0.0790648 0.0783475;	
182500;	91 0.0786864 0.0784672;	91 0.0786864 0.0784672;	90 0.0786903 0.0784672;	90 0.0786903 0.0785805;	88 0.0786904 0.078982;	90 0.0786912 0.0783855;	89 0.0786912 0.0784549;	
185000;	91 0.0786864 0.0784672;	83 0.0786864 0.0784672;	83 0.0786865 0.0784672;	84 0.0786876 0.0784672;	83 0.0786877 0.0784672;	83 0.0786903 0.0784672;	82 0.0786903 0.0784672;	
187500;	84 0.0786856 0.0785503;	83 0.0786856 0.0785503;	83 0.0786856 0.0785503;	84 0.0786857 0.0785503;	83 0.0786858 0.0785503;	83 0.0786864 0.0784672;	82 0.0786865 0.0784672;	
190000;	84 0.0786856 0.0785503;	83 0.0786856 0.0785503;	82 0.0786856 0.0785503;	84 0.0786857 0.0785503;	83 0.0786858 0.0785503;	84 0.0786864 0.0785503;	83 0.0786864 0.0784672;	
192500;	84 0.0786429 0.0783985;	84 0.0786429 0.0783985;	83 0.0786429 0.0783985;	84 0.0786434 0.0783985;	84 0.0786435 0.0785503;	84 0.0786438 0.0785503;	83 0.0786438 0.0783985;	
195000;	84 0.0786429 0.0783985;	83 0.0786429 0.0783985;	82 0.0786429 0.0783985;	84 0.0786434 0.0783985;	83 0.0786435 0.0783985;	84 0.0786438 0.0785503;	83 0.0786438 0.0783985;	
197500;	84 0.0786429 0.0783985;	83 0.0786429 0.0783985;	82 0.0786429 0.0783985;	84 0.0786434 0.0783985;	83 0.0786435 0.0783985;	82 0.0786438 0.0785788;	81 0.0786438 0.0783985;	
200000;	84 0.0786429 0.0783985;	83 0.0786429 0.0783985;	82 0.0786429 0.0783985;	84 0.0786434 0.0783985;	83 0.0786435 0.0783985;	82 0.0786438 0.0785788;	81 0.0786438 0.0783985;	
202500;	84 0.0786429 0.0783985;	83 0.0786429 0.0783985;	82 0.0786429 0.0783985;	84 0.0786434 0.0783985;	83 0.0786435 0.0783985;	82 0.0786438 0.0785788;	81 0.0786438 0.0783985;	
205000;	84 0.0786429 0.0783985;	83 0.0786429 0.0783985;	82 0.0786429 0.0783985;	84 0.0786434 0.0783985;	83 0.0786435 0.0783985;	82 0.0786438 0.0785788;	81 0.0786438 0.0783985;	
207500;	84 0.0786429 0.0783444;	83 0.0786429 0.0783985;	82 0.0786429 0.0783985;	84 0.0786434 0.0783985;	83 0.0786435 0.0783985;	82 0.0786438 0.0785788;	81 0.0786438 0.0783985;	
210000;	84 0.0786429 0.0783444;	83 0.0786429 0.0783985;	82 0.0786429 0.0783985;	84 0.0786434 0.0783985;	83 0.0786435 0.0783985;	82 0.0786438 0.0785788;	81 0.0786438 0.0783985;	
212500;	84 0.0786429 0.0783444;	83 0.0786429 0.0783985;	82 0.0786429 0.0783985;	84 0.0786434 0.0783985;	83 0.0786435 0.0783985;	82 0.0786438 0.0785788;	81 0.0786438 0.0783985;	
215000;	84 0.0786429 0.0783444;	82 0.0786429 0.0783985;	81 0.0786429 0.0783985;	83 0.0786434 0.0783985;	82 0.0786435 0.0783985;	82 0.0786438 0.0785788;	81 0.0786438 0.0783985;	
217500;	84 0.0786429 0.0783444;	81 0.0786429 0.0783985;	80 0.0786429 0.0783985;	82 0.0786434 0.0783985;	81 0.0786435 0.0783985;	80 0.0786438 0.0783985;	81 0.0786438 0.0783985;	
220000;	84 0.0786429 0.0783444;	81 0.0786429 0.0783985;	80 0.0786429 0.0783985;	82 0.0786434 0.0783985;	81 0.0786435 0.0783985;	80 0.0786438 0.0783985;	79 0.0786438 0.0783985;	
222500;	84 0.0786429 0.0783444;	81 0.0786429 0.0783985;	80 0.0786429 0.0783985;	82 0.0786434 0.0783985;	81 0.0786435 0.0783985;	80 0.0786438 0.0783985;	79 0.0786438 0.0783985;	
225000;	84 0.0786429 0.0783444;	81 0.0786429 0.0783985;	80 0.0786429 0.0783985;	82 0.0786434 0.0783985;	81 0.0786435 0.0783985;	80 0.0786438 0.0783985;	79 0.0786438 0.0783985;	
227500;	84 0.0786429 0.0783444;	84 0.0786429 0.0783444;	100 0.202208 1.#INF;	101 0.209303 0.0783985;	91 0.211146 1.#INF;	105 0.212182 1.#INF;	102 0.214575 0.0783985;	
230000;	84 0.0786429 0.0783444;	84 0.0786429 0.0783444;	85 0.147211 0.0783985;	89 0.157211 0.0783985;	84 0.166885 0.0783985;	89 0.171272 1.#INF;	84 0.174856 1.#INF;	
232500;	84 0.0786429 0.0783444;	84 0.0786429 0.0783444;	83 0.0835357 0.0783985;	86 0.086732 1.#INF;	85 0.0872531 1.#INF;	85 0.0890233 0.0783985;	84 0.0898082 1.#INF;	
235000;	84 0.0786429 0.0783444;	83 0.0786429 0.0783444;	84 0.0786468 0.0783985;	84 0.0789419 0.0783444;	84 0.0790841 0.0783444;	85 0.0793524 0.0783444;	84 0.0794942 0.0783444;	
237500;	84 0.0786429 0.0783444;	83 0.0786429 0.0783444;	84 0.0786468 0.0783985;	84 0.0786474 0.0783444;	84 0.0786482 0.0783444;	85 0.0786494 0.0783985;	85 0.0786501 0.0783444;	
240000;	85 0.0786388 0.0783323;	85 0.0786388 0.0783323;	84 0.0786389 0.0783323;	84 0.0786427 0.0783445;	84 0.0786428 0.0783444;	83 0.0786428 0.0783445;	83 0.0786429 0.0783444;	
