Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
215000;	84 0.122015 0.128326;	89 0.121169 0.185776;	89 0.12144 0.187997;	84 0.122015 0.128326;	92 0.122319 0.160341;	93 0.123279 0.160341;	89 0.123681 0.160341;	
217500;	84 0.122015 0.128326;	91 0.118026 0.188498;	95 0.119396 0.189502;	96 0.119645 0.185809;	91 0.119731 0.189709;	93 0.120025 0.188178;	90 0.120156 0.187101;	
220000;	84 0.122015 0.128326;	87 0.118026 0.188498;	92 0.11823 0.18885;	87 0.118382 0.18903;	87 0.118567 0.187842;	94 0.118571 0.188798;	98 0.118654 0.190635;	
222500;	84 0.122015 0.128326;	86 0.117589 0.185374;	93 0.117912 0.189229;	88 0.117915 0.189902;	93 0.117952 0.184265;	90 0.117955 0.189629;	85 0.118026 0.188498;	
225000;	84 0.122015 0.128326;	83 0.117589 0.185374;	86 0.117603 0.185284;	86 0.117802 0.186908;	85 0.117804 0.18757;	88 0.117817 0.187658;	89 0.117819 0.187664;	
227500;	84 0.122015 0.128326;	82 0.114216 0.180684;	84 0.11459 0.176526;	84 0.115236 0.178814;	84 0.115701 0.178771;	82 0.11577 0.180682;	83 0.117078 0.178663;	
230000;	84 0.122015 0.128326;	84 0.122015 0.128326;	125 0.346094 0.18575;	109 0.347156 0.18575;	116 0.351805 0.18575;	97 0.35325 0.18575;	94 0.354127 0.18575;	
232500;	84 0.122015 0.128326;	84 0.122015 0.128326;	86 0.127174 0.18575;	86 0.13431 0.18575;	85 0.139328 0.18575;	90 0.141483 0.18575;	93 0.143848 0.18575;	
235000;	86 0.12101 0.127169;	86 0.12101 0.127169;	84 0.121212 0.18575;	84 0.121649 0.18575;	84 0.121677 0.18575;	84 0.122015 0.128326;	85 0.12246 0.18575;	
237500;	86 0.12101 0.127169;	90 0.117923 0.18586;	89 0.118429 0.191709;	91 0.119094 0.191659;	91 0.119412 0.193052;	91 0.119581 0.191685;	88 0.119848 0.191367;	
240000;	86 0.12101 0.127169;	89 0.117045 0.193757;	92 0.117183 0.18904;	88 0.117511 0.192142;	87 0.117624 0.192116;	91 0.117628 0.192108;	92 0.117675 0.192068;	
