Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
210000;	71 0.0846564 0.0805373;	69 0.0846564 0.0805373;	70 0.084845 0.0805373;	68 0.0851929 0.0802583;	68 0.0854222 0.0803656;	69 0.0854251 0.0802583;	70 0.0855129 0.0802583;	
212500;	71 0.0846564 0.0805373;	69 0.0846564 0.0805373;	69 0.084672 0.0805373;	70 0.084845 0.0805373;	69 0.0849088 0.0805373;	68 0.0851929 0.0802583;	67 0.0854222 0.0805373;	
215000;	71 0.0846564 0.0805373;	68 0.0846564 0.0805373;	68 0.084672 0.0805373;	69 0.084845 0.0805373;	68 0.0849088 0.0805373;	67 0.0851929 0.0805373;	67 0.0854202 0.0805373;	
217500;	70 0.0821538 0.0732777;	70 0.0821538 0.0732777;	68 0.0825541 0.0788147;	69 0.0826217 0.0788147;	70 0.0826409 0.0788147;	68 0.0828699 0.0788147;	68 0.0830023 0.0788147;	
220000;	70 0.0821538 0.0732777;	68 0.0821538 0.0732777;	68 0.0823025 0.0732777;	67 0.0825541 0.0788147;	67 0.0826217 0.0732777;	68 0.0826364 0.0732777;	68 0.0826409 0.0732777;	
222500;	70 0.0821538 0.0732777;	68 0.0821538 0.0732777;	68 0.0823025 0.0732777;	67 0.0825541 0.0788147;	69 0.0825938 0.0732777;	67 0.0826217 0.0732777;	68 0.0826364 0.0732777;	
225000;	70 0.0821538 0.0732777;	68 0.0821538 0.0732777;	68 0.0823025 0.0732777;	67 0.0825541 0.0788147;	68 0.0825764 0.0732777;	67 0.0825919 0.0732777;	69 0.0825938 0.0732777;	
227500;	70 0.0821538 0.0732777;	68 0.0821538 0.0732777;	68 0.0823025 0.0732777;	67 0.0825541 0.0788147;	68 0.0825764 0.0732777;	67 0.0825919 0.0732777;	68 0.0825938 0.0732777;	
230000;	70 0.0821538 0.0732777;	68 0.0821538 0.0732777;	68 0.0823025 0.0732777;	67 0.0825541 0.0788147;	67 0.0825764 0.0732777;	66 0.0825919 0.0732777;	68 0.0825938 0.0732777;	
232500;	70 0.0821538 0.0732777;	67 0.0821538 0.0732777;	68 0.0823025 0.0732777;	66 0.0825541 0.0732777;	67 0.0825764 0.0732777;	66 0.0825919 0.0732777;	67 0.0825938 0.0732777;	
235000;	70 0.0821538 0.0732777;	67 0.0821538 0.0732777;	68 0.0823025 0.0732777;	66 0.0825541 0.0732777;	67 0.0825764 0.0732777;	66 0.0825919 0.0732777;	67 0.0825938 0.0732777;	
237500;	70 0.0821538 0.0732777;	70 0.0821538 0.0732777;	95 0.213575 1.#INF;	87 0.228516 1.#INF;	80 0.229181 1.#INF;	95 0.249744 0.0732777;	93 0.262333 0.0732777;	
240000;	70 0.0821538 0.0732777;	70 0.0821538 0.0732777;	73 0.160694 0.0732777;	71 0.164876 1.#INF;	69 0.167648 0.0732777;	79 0.19018 1.#INF;	72 0.191722 1.#INF;	
242500;	70 0.0821538 0.0732777;	70 0.0821538 0.0732777;	70 0.0846072 1.#INF;	69 0.0851013 0.0732777;	71 0.0956993 1.#INF;	70 0.104104 0.0732777;	73 0.117695 0.0732777;	
245000;	71 0.0813447 0.0725519;	71 0.0813447 0.0725519;	70 0.0821538 0.0732777;	72 0.0828388 0.0732777;	71 0.0834664 0.0732777;	70 0.0837943 0.0732777;	73 0.0839623 0.0732777;	
247500;	71 0.0813447 0.0725519;	70 0.0813447 0.0725519;	70 0.0821538 0.0732777;	72 0.0823997 0.0725519;	73 0.0824236 0.0732777;	72 0.0825005 0.0725519;	71 0.0825541 0.0725519;	
250000;	76 0.0791076 0.0648138;	75 0.0791076 0.0648138;	71 0.0800771 0.0667528;	77 0.08037 0.0725519;	71 0.0804721 0.0667528;	74 0.0809198 0.0725519;	77 0.0809639 0.0725519;	
Best: Len=76; Trn=0.0791076; Val=0.0648138; Tst=0.0578991;


#Evaluations = 1500006
Best evolved individual:
  Length = 76
  Training error   = 0.0791076
  Validating error = 0.0648138
  Testing error    = 0.0578991
  Genotype: 0,0 0,7 0,0 7,2 f,0 0,0 0,6 8,5 4,1 0,3 0,4 9,6 0,1 0,0 0,5 0,0 0,2 a,1 0,0 5,7 5,2 6,4 0,4 7,a 8,3 1,0 0,5 0,7 0,0 9,5 0,7 0,0 3,1 2,7 0,7 10,0 a,1 2,0 0,0 11,0 3,0 0,2 11,0 e,0 0,0 10,0 10,0 10,0 10,0 1,8 0,5 f,0 0,0 0,0 10,0 10,0 0,5 0,0 e,0 10,0 6,2 9,5 10,0 3,6 0,0 0,5 0,0 10,0 9,1 10,0 e,0 10,0 0,0 0,0 c,2 0,7 d,6 0,0 d,1 8,0 7,2 3,4 6,7 e,0 11,0 c,5 4,9 0,7 e,0 10,0 6,4 10,0 0,8 3,6 2,4 0,0 e,0 7,1 0,0 0,2 b,2 0,5 10,0 b,4 a,5 0,0 0,3 0,0 10,0 e,0 3,0 a,1 0,0 0,2 9,2 0,3 9,7 9,0 0,1 3,7 0,7 b,6 0,6 5,1 c,5 0,0 0,1 10,0 
Duration = 00:08:12.7968750
